TAKE,1THR,2THR,4THR,8THR,1THR,2THR,4THR
 ,,,,,,,
COLSIZE:,0.01,,,,,,
BATCH,,,,,,,
TIME:,,,,,,,
1,27.954,13.8512,9.43542,,27.85694,13.90314,9.316684
2,27.7573,13.8775,9.45773,,,,
3,28.035,14.0551,9.60545,,,,
4,27.6827,13.8537,9.14158,,,,
5,27.8557,13.8782,8.94324,,,,
BATCH,,,,,,,
HASH TIME:,,,,,,,
1,3.2287,1.6168,1.0871,,3.21128,1.6184,1.07414
2,3.1935,1.6114,1.086,,,,
3,3.2299,1.635,1.1061,,,,
4,3.1837,1.612,1.0562,,,,
5,3.2206,1.6168,1.0353,,,,
BATCH,,,,,,,
WRITE TIME:,,,,,,,
1,24.639,12.2045,8.33646,,24.55938,12.2567,8.232916
2,24.4775,12.2319,8.3696,,,,
3,24.7159,12.3977,8.48674,,,,
4,24.4169,12.2075,8.07347,,,,
5,24.5476,12.2419,7.89831,,,,
BATCH,,,,,,,
THROUGHPUT:,,,,,,,
1,1.20E+06,2.42E+06,3.56E+06,,,,
2,1.21E+06,2.42E+06,3.55E+06,,,,
3,1.20E+06,2.39E+06,3.49E+06,,,,
4,1.21E+06,2.42E+06,3.67E+06,,,,
5,1.20E+06,2.42E+06,3.75E+06,,,,
BATCH,,,,,,,
ERROR:,,,,,,,
1,0.2815,0.2815,0.2815,,,,
2,0.28,0.28,0.28,,,,
3,0.2811,0.2811,0.2811,,,,
4,0.2574,0.2574,0.2574,,,,
5,0.2175,0.2175,0.2175,,,,
BATCH AND PADDING,,,,,,,
TIME:,,,,,,,
1,28.3504,13.8994,9.52235,,28.2408,13.89438,9.385894
2,28.1978,13.9222,9.54996,,,,
3,28.4211,13.9292,10.0119,,,,
4,28.0013,13.858,8.96934,,,,
5,28.2334,13.8631,8.87592,,,,
BATCH AND PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.312,1.639,1.1129,,3.29598,1.63892,1.08046
2,3.2949,1.6435,1.1216,,,,
3,3.3159,1.6462,1.0808,,,,
4,3.2713,1.638,1.0532,,,,
5,3.2858,1.6279,1.0338,,,,
BATCH AND PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,24.9508,12.2253,8.39893,,24.857,12.22442,8.211894
2,24.8141,12.2431,8.42442,,,,
3,25.0134,12.2588,8.50146,,,,
4,24.6467,12.1887,7.90788,,,,
5,24.86,12.2062,7.82678,,,,
BATCH AND PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.18E+06,2.41E+06,3.52E+06,,,,
2,1.19E+06,2.41E+06,3.51E+06,,,,
3,1.18E+06,2.41E+06,3.35E+06,,,,
4,1.20E+06,2.42E+06,3.74E+06,,,,
5,1.19E+06,2.42E+06,3.78E+06,,,,
BATCH AND PADDING,,,,,,,
ERROR:,,,,,,,
1,0.2338,0.2338,0.2338,,,,
2,0.29,0.29,0.29,,,,
3,0.2704,0.2704,0.2703,,,,
4,0.2481,0.2481,0.2481,,,,
5,0.3,0.3,0.3,,,,
COLSIZE:,0.001,,,,,,
BATCH,,,,,,,
TIME:,,,,,,,
1,26.9166,13.3081,8.59758,,26.84194,13.25626,8.621128
2,26.747,13.2459,8.92335,,,,
3,26.8904,13.2395,8.77963,,,,
4,26.887,13.2815,8.46674,,,,
5,26.7687,13.2063,8.33834,,,,
BATCH,,,,,,,
HASH TIME:,,,,,,,
1,3.2327,1.6185,1.0425,,3.2206,1.61252,1.04568
2,3.2106,1.6136,1.0811,,,,
3,3.2216,1.6085,1.0631,,,,
4,3.2331,1.6187,1.0286,,,,
5,3.205,1.6033,1.0131,,,,
BATCH,,,,,,,
WRITE TIME:,,,,,,,
1,23.5963,11.6538,7.54057,,23.53694,11.60868,7.560142
2,23.4545,11.5981,7.82531,,,,
3,23.5838,11.5896,7.70216,,,,
4,23.5676,11.6359,7.42192,,,,
5,23.4825,11.566,7.31075,,,,
BATCH,,,,,,,
THROUGHPUT:,,,,,,,
1,1.25E+06,2.52E+06,3.90E+06,,,,
2,1.25E+06,2.53E+06,3.76E+06,,,,
3,1.25E+06,2.53E+06,3.82E+06,,,,
4,1.25E+06,2.53E+06,3.96E+06,,,,
5,1.25E+06,2.54E+06,4.02E+06,,,,
BATCH,,,,,,,
ERROR:,,,,,,,
1,0.081523,0.081523,0.081523,,,,
2,0.085238,0.085238,0.085238,,,,
3,0.08212,0.082119,0.082123,,,,
4,0.086378,0.086378,0.086378,,,,
5,0.081963,0.081962,0.081963,,,,
BATCH AND PADDING,,,,,,,
TIME:,,,,,,,
1,27.2915,13.2902,8.54686,,27.26024,13.27322,8.60539
2,27.2124,13.235,8.96207,,,,
3,27.2109,13.206,8.69463,,,,
4,27.2998,13.3423,8.52742,,,,
5,27.2866,13.2926,8.29597,,,,
BATCH AND PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.3061,1.6342,1.0488,,3.30702,1.63422,1.05802
2,3.3088,1.6364,1.1055,,,,
3,3.3019,1.626,1.0729,,,,
4,3.3162,1.6404,1.046,,,,
5,3.3021,1.6341,1.0169,,,,
BATCH AND PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,23.8968,11.6232,7.4836,,23.8667,11.6051,7.533088
2,23.8203,11.5665,7.84614,,,,
3,23.8219,11.5375,7.6088,,,,
4,23.8963,11.6709,7.4636,,,,
5,23.8982,11.6274,7.2633,,,,
BATCH AND PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.23E+06,2.52E+06,3.93E+06,,,,
2,1.23E+06,2.54E+06,3.74E+06,,,,
3,1.23E+06,2.54E+06,3.86E+06,,,,
4,1.23E+06,2.51E+06,3.93E+06,,,,
5,1.23E+06,2.52E+06,4.04E+06,,,,
BATCH AND PADDING,,,,,,,
ERROR:,,,,,,,
1,0.085138,0.085138,0.085138,,,,
2,0.085645,0.085645,0.085645,,,,
3,0.081599,0.081599,0.081599,,,,
4,0.082847,0.082847,0.082852,,,,
5,0.085143,0.085147,0.085143,,,,
COLSIZE:,0.0001,,,,,,
BATCH,,,,,,,
TIME:,,,,,,,
1,31.3054,15.8846,10.5117,,31.00502,15.7485,10.76304
2,30.8717,15.5719,10.6893,,,,
3,31.0267,15.7121,10.8138,,,,
4,30.9212,15.8262,10.8299,,,,
5,30.9001,15.7477,10.9705,,,,
BATCH,,,,,,,
HASH TIME:,,,,,,,
1,3.3223,1.676,1.1356,,3.30486,1.66778,1.16856
2,3.3022,1.6567,1.1693,,,,
3,3.3006,1.6552,1.1644,,,,
4,3.3081,1.684,1.1805,,,,
5,3.2911,1.667,1.193,,,,
BATCH,,,,,,,
WRITE TIME:,,,,,,,
1,27.8746,14.1693,9.32244,,27.59888,14.03538,9.54507
2,27.4702,13.8684,9.47861,,,,
3,27.6268,14.0076,9.59348,,,,
4,27.5127,14.0994,9.60283,,,,
5,27.5101,14.0322,9.72799,,,,
BATCH,,,,,,,
THROUGHPUT:,,,,,,,
1,1.07E+06,2.11E+06,3.19E+06,,,,
2,1.09E+06,2.15E+06,3.14E+06,,,,
3,1.08E+06,2.14E+06,3.10E+06,,,,
4,1.09E+06,2.12E+06,3.10E+06,,,,
5,1.09E+06,2.13E+06,3.06E+06,,,,
BATCH,,,,,,,
ERROR:,,,,,,,
1,0.0044149,0.0044146,0.0044149,,,,
2,0.0045047,0.0045033,0.0045047,,,,
3,0.0043979,0.0043978,0.0043979,,,,
4,0.0044529,0.0044529,0.0044529,,,,
5,0.0045078,0.0045081,0.0045078,,,,
BATCH AND PADDING,,,,,,,
TIME:,,,,,,,
1,31.5815,15.8043,10.4449,,31.38432,15.74238,10.668
2,31.3276,15.5874,10.6422,,,,
3,31.346,15.8244,10.686,,,,
4,31.3239,15.8345,10.8078,,,,
5,31.3426,15.6613,10.7591,,,,
BATCH AND PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.3551,1.669,1.1134,,3.33768,1.66396,1.15406
2,3.3292,1.646,1.1476,,,,
3,3.3279,1.6681,1.1555,,,,
4,3.32,1.6691,1.1681,,,,
5,3.3562,1.6676,1.1857,,,,
BATCH AND PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,28.1153,14.0929,9.2687,,27.94174,14.03308,9.460182
2,27.8944,13.8935,9.44461,,,,
3,27.9178,14.1071,9.46913,,,,
4,27.8949,14.1232,9.58862,,,,
5,27.8863,13.9487,9.52985,,,,
BATCH AND PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.06E+06,2.12E+06,3.21E+06,,,,
2,1.07E+06,2.15E+06,3.15E+06,,,,
3,1.07E+06,2.12E+06,3.14E+06,,,,
4,1.07E+06,2.12E+06,3.10E+06,,,,
5,1.07E+06,2.14E+06,3.12E+06,,,,
BATCH AND PADDING,,,,,,,
ERROR:,,,,,,,
1,0.0047386,0.0047386,0.0047386,,,,
2,0.0042083,0.0042081,0.0042092,,,,
3,0.0042506,0.0042506,0.0042506,,,,
4,0.0039853,0.0039836,0.0039853,,,,
5,0.0045745,0.0045739,0.0045745,,,,
COLSIZE:,0.00001,,,,,,
BATCH,,,,,,,
TIME:,,,,,,,
1,40.6548,20.843,13.0211,,40.64114,20.79546,12.8436
2,40.3564,20.8449,12.7514,,,,
3,40.7423,20.7757,12.9718,,,,
4,40.4456,20.6089,12.8706,,,,
5,41.0066,20.9048,12.6031,,,,
BATCH,,,,,,,
HASH TIME:,,,,,,,
1,3.3112,1.684,1.1353,,3.3233,1.68508,1.1155
2,3.2898,1.6818,1.1004,,,,
3,3.3259,1.679,1.1323,,,,
4,3.3028,1.667,1.1241,,,,
5,3.3868,1.7136,1.0854,,,,
BATCH,,,,,,,
WRITE TIME:,,,,,,,
1,37.2329,19.106,11.8292,,37.2043,19.05466,11.66938
2,36.9588,19.1182,11.5979,,,,
3,37.3053,19.0358,11.79,,,,
4,37.0323,18.8809,11.6907,,,,
5,37.4922,19.1324,11.4391,,,,
BATCH,,,,,,,
THROUGHPUT:,,,,,,,
1,825349,1.61E+06,2.58E+06,,,,
2,831453,1.61E+06,2.63E+06,,,,
3,823577,1.62E+06,2.59E+06,,,,
4,829619,1.63E+06,2.61E+06,,,,
5,818269,1.61E+06,2.66E+06,,,,
BATCH,,,,,,,
ERROR:,,,,,,,
1,0.0001581,0.0001581,0.0001581,,,,
2,0.0001308,0.0001308,0.0001308,,,,
3,0.00011902,0.00011902,0.00011902,,,,
4,0.00016281,0.0001635,0.00016173,,,,
5,0.00014134,0.00014134,0.00014443,,,,
BATCH AND PADDING,,,,,,,
TIME:,,,,,,,
1,40.8252,20.8725,12.8398,,40.7704,20.79302,12.77142
2,40.6159,20.8775,12.9843,,,,
3,40.8251,20.7472,12.8053,,,,
4,40.5238,20.5786,12.6997,,,,
5,41.062,20.8893,12.528,,,,
BATCH AND PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.3255,1.683,1.1064,,3.32558,1.67738,1.10052
2,3.3331,1.699,1.1435,,,,
3,3.3232,1.6681,1.0985,,,,
4,3.3011,1.6527,1.0788,,,,
5,3.345,1.6841,1.0754,,,,
BATCH AND PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,37.3845,19.1324,11.6729,,37.32836,19.0562,11.60782
2,37.1699,19.1309,11.7887,,,,
3,37.3895,19.0171,11.6464,,,,
4,37.111,18.8596,11.5623,,,,
5,37.5869,19.141,11.3688,,,,
BATCH AND PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,821905,1.61E+06,2.61E+06,,,,
2,826141,1.61E+06,2.58E+06,,,,
3,821908,1.62E+06,2.62E+06,,,,
4,828017,1.63E+06,2.64E+06,,,,
5,817165,1.61E+06,2.68E+06,,,,
BATCH AND PADDING,,,,,,,
ERROR:,,,,,,,
1,0.00012181,0.00012181,0.00012181,,,,
2,0.0001155,0.0001155,0.00011744,,,,
3,0.00014966,0.00014966,0.00014966,,,,
4,0.00014385,0.00014385,0.00014385,,,,
5,0.00013629,0.00013629,0.00013478,,,,
