TAKE,1THR,2THR,4THR,8THR,16THR,,1THR,2THR,4THR,8THR, 
 ,,,,,,,,,,,
COLSIZE:,0.01,,,,,,,,,,
NAIVE,,,,,,,,,,,
TIME,,,,,,,,,,,
1,53.1024,34.3223,16.1276,8.63776,4.87399,,52.7676,33.2933,16.52052,8.586652,
2,51.627,32.8338,16.7099,8.60816,4.96784,,,,,,
3,53.2939,32.9914,15.397,7.85842,5.14446,,,,,,
4,52.2685,33.0944,17.1102,9.03601,5.54378,,,,,,
5,53.5462,33.2246,17.2579,8.79291,5.18406,,,,,,
ERROR,,,,,,,,,,,
1,1.59803,1.59803,1.59803,1.59803,1.59803,,,,,,
2,1.59977,1.59977,1.59977,1.59977,1.59977,,,,,,
3,1.59001,1.59001,1.59001,1.59001,1.59001,,,,,,
4,1.6158,1.6158,1.6158,1.6158,1.6158,,,,,,
5,1.60896,1.60896,1.60896,1.60896,1.60896,,,,,,
THROUGHPUT,,,,,,,,,,,
1,2.02E+07,3.13E+07,6.66E+07,1.24E+08,2.20E+08,,,,,,
2,2.08E+07,3.27E+07,6.43E+07,1.25E+08,2.16E+08,,,,,,
3,2.01E+07,3.25E+07,6.97E+07,1.37E+08,2.09E+08,,,,,,
4,2.05E+07,3.24E+07,6.28E+07,1.19E+08,1.94E+08,,,,,,
5,2.01E+07,3.23E+07,6.22E+07,1.22E+08,2.07E+08,,,,,,
MERGED,,,,,,,,,,,
TIME,,,,,,,,,,,
1,51.8172,26.073,13.9992,7.84633,4.44778,,52.40662,26.2104,14.49602,7.684318,
2,53.003,26.1693,13.8017,7.56449,4.60122,,,,,,
3,52.7593,26.7613,14.9764,7.90608,4.48967,,,,,,
4,52.0097,25.9831,14.9773,7.47996,4.50745,,,,,,
5,52.4439,26.0653,14.7255,7.62473,4.76971,,,,,,
ERROR,,,,,,,,,,,
1,1.59803,1.59803,1.59803,1.59803,1.59803,,,,,,
2,1.59977,1.59977,1.59977,1.59977,1.59977,,,,,,
3,1.59001,1.59001,1.59001,1.59001,1.59001,,,,,,
4,1.6158,1.6158,1.6158,1.6158,1.6158,,,,,,
5,1.60896,1.60896,1.60896,1.60896,1.60896,,,,,,
THROUGHPUT,,,,,,,,,,,
1,2.07E+07,4.12E+07,7.67E+07,1.37E+08,2.41E+08,,,,,,
2,2.03E+07,4.10E+07,7.78E+07,1.42E+08,2.33E+08,,,,,,
3,2.04E+07,4.01E+07,7.17E+07,1.36E+08,2.39E+08,,,,,,
4,2.06E+07,4.13E+07,7.17E+07,1.44E+08,2.38E+08,,,,,,
5,2.05E+07,4.12E+07,7.29E+07,1.41E+08,2.25E+08,,,,,,
COLSIZE:,0.001,,,,,,,,,,
NAIVE,,,,,,,,,,,
TIME,,,,,,,,,,,
1,57.0795,29.1377,15.8354,8.22126,4.50236,,54.09494,27.24806,15.4841,7.890668,
2,53.8656,26.9126,16.7626,7.92708,4.47737,,,,,,
3,52.0828,26.4589,15.2366,7.68421,4.58133,,,,,,
4,53.856,26.7365,14.7726,7.7543,4.47782,,,,,,
5,53.5908,26.9946,14.8133,7.86649,4.52394,,,,,,
ERROR,,,,,,,,,,,
1,0.1209,0.1209,0.1209,0.1209,0.1209,,,,,,
2,0.117373,0.117373,0.117373,0.117373,0.117373,,,,,,
3,0.117283,0.117283,0.117283,0.117283,0.117283,,,,,,
4,0.118843,0.118843,0.118843,0.118843,0.118843,,,,,,
5,0.115987,0.115987,0.115987,0.115987,0.115987,,,,,,
THROUGHPUT,,,,,,,,,,,
1,1.88E+07,3.69E+07,6.78E+07,1.31E+08,2.38E+08,,,,,,
2,1.99E+07,3.99E+07,6.41E+07,1.35E+08,2.40E+08,,,,,,
3,2.06E+07,4.06E+07,7.05E+07,1.40E+08,2.34E+08,,,,,,
4,1.99E+07,4.02E+07,7.27E+07,1.38E+08,2.40E+08,,,,,,
5,2.00E+07,3.98E+07,7.25E+07,1.36E+08,2.37E+08,,,,,,
MERGED,,,,,,,,,,,
TIME,,,,,,,,,,,
1,51.9459,27.1364,14.5438,7.86349,4.6061,,52.14962,27.0809,14.94572,7.708882,
2,51.9018,26.6342,15.239,7.91094,4.61777,,,,,,
3,52.5765,27.3659,15.6895,7.33799,4.55092,,,,,,
4,51.6252,27.111,14.43,7.58913,4.55761,,,,,,
5,52.6987,27.157,14.8263,7.84286,4.58821,,,,,,
ERROR,,,,,,,,,,,
1,0.1209,0.1209,0.1209,0.1209,0.1209,,,,,,
2,0.117373,0.117373,0.117373,0.117373,0.117373,,,,,,
3,0.117283,0.117283,0.117283,0.117283,0.117283,,,,,,
4,0.118843,0.118843,0.118843,0.118843,0.118843,,,,,,
5,0.115987,0.115987,0.115987,0.115987,0.115987,,,,,,
THROUGHPUT,,,,,,,,,,,
1,2.07E+07,3.96E+07,7.38E+07,1.37E+08,2.33E+08,,,,,,
2,2.07E+07,4.03E+07,7.05E+07,1.36E+08,2.33E+08,,,,,,
3,2.04E+07,3.92E+07,6.84E+07,1.46E+08,2.36E+08,,,,,,
4,2.08E+07,3.96E+07,7.44E+07,1.41E+08,2.36E+08,,,,,,
5,2.04E+07,3.95E+07,7.24E+07,1.37E+08,2.34E+08,,,,,,
COLSIZE:,0.0001,,,,,,,,,,
NAIVE,,,,,,,,,,,
TIME,,,,,,,,,,,
1,63.4825,32.0029,18.1333,9.47194,5.22494,,64.07192,32.02824,17.06634,9.191346,
2,64.2734,32.2599,16.0518,8.94517,5.17935,,,,,,
3,64.1606,31.6692,16.5803,9.14197,5.25236,,,,,,
4,64.4114,32.0586,16.8828,9.17627,5.22179,,,,,,
5,64.0317,32.1506,17.6835,9.22138,5.15702,,,,,,
ERROR,,,,,,,,,,,
1,0.00787491,0.00787491,0.00787491,0.00787491,0.00787491,,,,,,
2,0.007841,0.007841,0.007841,0.007841,0.007841,,,,,,
3,0.00761198,0.00761198,0.00761198,0.00761198,0.00761198,,,,,,
4,0.00803891,0.00803891,0.00803891,0.00803891,0.00803891,,,,,,
5,0.00814773,0.00814773,0.00814773,0.00814773,0.00814773,,,,,,
THROUGHPUT,,,,,,,,,,,
1,1.69E+07,3.36E+07,5.92E+07,1.13E+08,2.06E+08,,,,,,
2,1.67E+07,3.33E+07,6.69E+07,1.20E+08,2.07E+08,,,,,,
3,1.67E+07,3.39E+07,6.48E+07,1.17E+08,2.04E+08,,,,,,
4,1.67E+07,3.35E+07,6.36E+07,1.17E+08,2.06E+08,,,,,,
5,1.68E+07,3.34E+07,6.07E+07,1.16E+08,2.08E+08,,,,,,
MERGED,,,,,,,,,,,
TIME,,,,,,,,,,,
1,62.9118,31.6671,16.0426,8.55283,5.01194,,62.92226,31.35828,16.69502,8.723542,
2,62.8853,31.4102,17.718,8.86474,5.05019,,,,,,
3,63.2231,31.2964,17.0016,8.8845,4.96324,,,,,,
4,62.3953,30.7281,16.5932,8.83184,4.94375,,,,,,
5,63.1958,31.6896,16.1197,8.4838,4.94951,,,,,,
ERROR,,,,,,,,,,,
1,0.00787491,0.00787491,0.00787491,0.00787491,0.00787491,,,,,,
2,0.007841,0.007841,0.007841,0.007841,0.007841,,,,,,
3,0.00761198,0.00761198,0.00761198,0.00761198,0.00761198,,,,,,
4,0.00803891,0.00803891,0.00803891,0.00803891,0.00803891,,,,,,
5,0.00814773,0.00814773,0.00814773,0.00814773,0.00814773,,,,,,
THROUGHPUT,,,,,,,,,,,
1,1.71E+07,3.39E+07,6.69E+07,1.26E+08,2.14E+08,,,,,,
2,1.71E+07,3.42E+07,6.06E+07,1.21E+08,2.13E+08,,,,,,
3,1.70E+07,3.43E+07,6.32E+07,1.21E+08,2.16E+08,,,,,,
4,1.72E+07,3.49E+07,6.47E+07,1.22E+08,2.17E+08,,,,,,
5,1.70E+07,3.39E+07,6.66E+07,1.27E+08,2.17E+08,,,,,,
COLSIZE:,0.00001,,,,,,,,,,
NAIVE,,,,,,,,,,,
TIME,,,,,,,,,,,
1,64.4276,32.5298,18.4447,12.0985,8.83323,,65.50238,33.03022,18.89436,12.15368,
2,64.3286,34.0806,19.0497,11.9759,8.09914,,,,,,
3,67.3729,32.8008,18.8923,11.8937,8.54796,,,,,,
4,65.5669,32.7692,18.3971,12.5584,8.68401,,,,,,
5,65.8159,32.9707,19.688,12.2419,8.40103,,,,,,
ERROR,,,,,,,,,,,
1,0.000451015,0.000451015,0.000451015,0.000451015,0.000451015,,,,,,
2,0.000452071,0.000452071,0.000452071,0.000452071,0.000452071,,,,,,
3,0.000448362,0.000448362,0.000448362,0.000448362,0.000448362,,,,,,
4,0.00044281,0.00044281,0.00044281,0.00044281,0.00044281,,,,,,
5,0.00045047,0.00045047,0.00045047,0.00045047,0.00045047,,,,,,
THROUGHPUT,,,,,,,,,,,
1,1.67E+07,3.30E+07,5.82E+07,8.88E+07,1.22E+08,,,,,,
2,1.67E+07,3.15E+07,5.64E+07,8.97E+07,1.33E+08,,,,,,
3,1.59E+07,3.27E+07,5.68E+07,9.03E+07,1.26E+08,,,,,,
4,1.64E+07,3.28E+07,5.84E+07,8.55E+07,1.24E+08,,,,,,
5,1.63E+07,3.26E+07,5.45E+07,8.77E+07,1.28E+08,,,,,,
MERGED,,,,,,,,,,,
TIME,,,,,,,,,,,
1,64.8901,31.7266,17.0077,11.718,8.32283,,64.1354,31.3079,17.17226,11.54818,
2,63.8403,31.6172,16.2809,11.5956,8.35287,,,,,,
3,63.4554,31.2594,17.3012,11.6957,8.32366,,,,,,
4,64.3121,30.5453,17.4166,11.3197,8.47757,,,,,,
5,64.1791,31.391,17.8549,11.4119,8.22902,,,,,,
ERROR,,,,,,,,,,,
1,0.000451015,0.000451015,0.000451015,0.000451015,0.000451015,,,,,,
2,0.000452071,0.000452071,0.000452071,0.000452071,0.000452071,,,,,,
3,0.000448362,0.000448362,0.000448362,0.000448362,0.000448362,,,,,,
4,0.00044281,0.00044281,0.00044281,0.00044281,0.00044281,,,,,,
5,0.00045047,0.00045047,0.00045047,0.00045047,0.00045047,,,,,,
THROUGHPUT,,,,,,,,,,,
1,1.65E+07,3.38E+07,6.31E+07,9.16E+07,1.29E+08,,,,,,
2,1.68E+07,3.40E+07,6.60E+07,9.26E+07,1.29E+08,,,,,,
3,1.69E+07,3.43E+07,6.21E+07,9.18E+07,1.29E+08,,,,,,
4,1.67E+07,3.52E+07,6.17E+07,9.49E+07,1.27E+08,,,,,,
5,1.67E+07,3.42E+07,6.01E+07,9.41E+07,1.30E+08,,,,,,
